id,Council,IntZ,code
1,Clackmannanshire,Tillicoultry,S02000163
2,Clackmannanshire,Alva,S02000162
3,Clackmannanshire,Dollar and Muckhart,S02000161
4,Clackmannanshire,Menstrie,S02000160
5,Clackmannanshire,Tullibody North and Glenochil,S02000159
6,Clackmannanshire,"Fishcross, Devon Village and Coalsnaughton",S02000158
7,Clackmannanshire,Alloa North,S02000157
8,Clackmannanshire,Tullibody South,S02000156
9,Clackmannanshire,Sauchie,S02000155
10,Clackmannanshire,Alloa West,S02000154
11,Clackmannanshire,Alloa South and East,S02000153
12,Clackmannanshire,"Clackmannan, Kennet and Forestmill",S02000152
13,Dumfries and Galloway,Rotchell and Rosefield,S02000182
14,Dumfries and Galloway,Dumfries West,S02000183
15,Dumfries and Galloway,Dumfries East,S02000184
16,Dumfries and Galloway,Summerville,S02000185
17,Dumfries and Galloway,Nithside and Nunholm,S02000186
18,Dumfries and Galloway,Lincluden and Lochside,S02000187
19,Dumfries and Galloway,Locharbriggs,S02000188
20,Dumfries and Galloway,Catherinefield,S02000189
21,Dumfries and Galloway,Boreland and Ecclefechan,S02000190
22,Dumfries and Galloway,Lower Nithsdale,S02000191
23,Dumfries and Galloway,Lochmaben and Parkgate,S02000192
24,Dumfries and Galloway,Crocketford and Carsphairn,S02000193
25,Dumfries and Galloway,Lockerbie and Mid Annandale,S02000194
26,Dumfries and Galloway,Langholm and Canonbie,S02000195
27,Dumfries and Galloway,Mid Nithsdale,S02000196
28,Dumfries and Galloway,Moffat and Eskdalemuir,S02000197
29,Dumfries and Galloway,Upper Nithsdale,S02000198
30,Dumfries and Galloway,Stranraer Central,S02000169
31,Dumfries and Galloway,Castle Douglas,S02000168
32,Dumfries and Galloway,Dalbeattie,S02000167
33,Dumfries and Galloway,Kirkcudbright,S02000166
34,Dumfries and Galloway,Kirkmaiden,S02000165
35,Dumfries and Galloway,Machars South,S02000164
36,Dumfries and Galloway,Stranraer West,S02000170
37,Dumfries and Galloway,Moors,S02000171
38,Dumfries and Galloway,Portpatrick,S02000172
39,Dumfries and Galloway,Fleet,S02000173
40,Dumfries and Galloway,Annan South,S02000174
41,Dumfries and Galloway,New Abbey,S02000175
42,Dumfries and Galloway,Gretna and Eastriggs,S02000176
43,Dumfries and Galloway,Annan North,S02000177
44,Dumfries and Galloway,Lower Annandale and South East Dumfries,S02000178
45,Dumfries and Galloway,Cree Valley,S02000179
46,Dumfries and Galloway,Dumfries South,S02000180
47,Dumfries and Galloway,Georgetown,S02000181
48,East Ayrshire,Doon Valley South,S02000230
49,East Ayrshire,Doon Valley North,S02000231
50,East Ayrshire,New Cumnock,S02000232
51,East Ayrshire,Drongan,S02000233
52,East Ayrshire,Cumnock South and Craigens,S02000234
53,East Ayrshire,Mauchline Rural,S02000235
54,East Ayrshire,Cumnock North,S02000236
55,East Ayrshire,Cumnock Rural,S02000237
56,East Ayrshire,Auchinleck,S02000238
57,East Ayrshire,Mauchline,S02000239
58,East Ayrshire,Shortlees,S02000240
59,East Ayrshire,Bellfield and Kirkstyle,S02000241
60,East Ayrshire,Galston,S02000242
61,East Ayrshire,Kilmarnock South Central and Caprington,S02000243
62,East Ayrshire,Earlston and Hurlford Rural,S02000244
63,East Ayrshire,"Grange, Howard and Gargieston",S02000245
64,East Ayrshire,Newmilns,S02000246
65,East Ayrshire,Darvel,S02000247
66,East Ayrshire,Piersland,S02000248
67,East Ayrshire,Crosshouse and Gatehead Rural,S02000249
68,East Ayrshire,Bonnyton and Town Centre,S02000250
69,East Ayrshire,New Farm Loch South,S02000251
70,East Ayrshire,"Altonhill South, Longpark and Hillhead",S02000252
71,East Ayrshire,Dean and New Farm Loch North,S02000253
72,East Ayrshire,Altonhill North and Onthank,S02000254
73,East Ayrshire,Southcraig and Beansburn,S02000255
74,East Ayrshire,Kilmaurs Rural,S02000256
75,East Ayrshire,Northern and Irvine Valley Rural,S02000257
76,East Ayrshire,Stewarton West,S02000258
77,East Ayrshire,Stewarton East,S02000259
78,East Lothian,IZ Nineteen,S02000306
79,East Lothian,IZ Eighteen,S02000305
80,East Lothian,IZ Seventeen,S02000304
81,East Lothian,IZ Sixteen,S02000303
82,East Lothian,IZ Fifteen,S02000302
83,East Lothian,IZ Fourteen,S02000301
84,East Lothian,IZ Thirteen,S02000300
85,East Lothian,IZ Twelve,S02000299
86,East Lothian,IZ Eleven,S02000298
87,East Lothian,IZ Ten,S02000297
88,East Lothian,IZ Nine,S02000296
89,East Lothian,IZ Eight,S02000295
90,East Lothian,IZ Seven,S02000294
91,East Lothian,IZ Six,S02000293
92,East Lothian,IZ Five,S02000292
93,East Lothian,IZ Four,S02000291
94,East Lothian,IZ Three,S02000290
95,East Lothian,IZ Two,S02000289
96,East Lothian,IZ One,S02000288
97,East Lothian,IZ Twenty Two,S02000309
98,East Lothian,IZ Twenty One,S02000308
99,East Lothian,IZ Twenty,S02000307
100,East Renfrewshire,Lower Whitecraigs and South Giffnock,S02000323
101,East Renfrewshire,Auchenback,S02000322
102,East Renfrewshire,Clarkston and Sheddens,S02000317
103,East Renfrewshire,Whitecraigs and Broom,S02000316
104,East Renfrewshire,Busby,S02000315
105,East Renfrewshire,West Neilston and Uplawmoor,S02000314
106,East Renfrewshire,"Mearns Village, Westacres and Greenfarm",S02000313
107,East Renfrewshire,North Kirkhill,S02000312
108,East Renfrewshire,Mearnskirk and South Kirkhill,S02000311
109,East Renfrewshire,Eaglesham and Waterfoot,S02000310
110,East Renfrewshire,North Giffnock and North Thornliebank,S02000327
111,East Renfrewshire,"Dunterlie, East Arthurlie and Dovecothall",S02000328
112,East Renfrewshire,Cross Stobbs,S02000329
113,East Renfrewshire,West Arthurlie and North Neilston,S02000321
114,East Renfrewshire,Stamperland,S02000320
115,East Renfrewshire,Williamwood,S02000319
116,East Renfrewshire,Crookfur and Fruin,S02000318
117,East Renfrewshire,Merrylee and Braidbar,S02000326
118,East Renfrewshire,Netherlee,S02000325
119,East Renfrewshire,South Thornliebank and Woodfarm,S02000324
120,Comhairle nan Eilean Siar,Stornoway West,S02000437
121,Comhairle nan Eilean Siar,Broadbay,S02000438
122,Comhairle nan Eilean Siar,Barra and South Uist,S02000431
123,Comhairle nan Eilean Siar,Northwest Lewis,S02000439
124,Comhairle nan Eilean Siar,Stornoway East,S02000436
125,Comhairle nan Eilean Siar,Point,S02000435
126,Comhairle nan Eilean Siar,South Lewis,S02000434
127,Comhairle nan Eilean Siar,Harris,S02000433
128,Comhairle nan Eilean Siar,Benbecula and North Ui,S02000432
129,Falkirk,Carron,S02000474
130,Falkirk,Stenhousemuir West,S02000475
131,Falkirk,Carronshore,S02000476
132,Falkirk,North Broomage and Inches,S02000477
133,Falkirk,Antonshill,S02000478
134,Falkirk,Dunipace,S02000479
135,Falkirk,Carse and Grangemouth Old Town,S02000480
136,Falkirk,Tamfourhill,S02000455
137,Falkirk,"Blackness, Carriden and Grahamsdyke",S02000454
138,Falkirk,Bantaskin,S02000453
139,Falkirk,Falkirk Town Centre and Callendar Park,S02000452
140,Falkirk,Douglas,S02000451
141,Falkirk,Laurieston and Westquarter,S02000450
142,Falkirk,Polmont,S02000449
143,Falkirk,High Bonnybridge and Greenhill,S02000448
144,Falkirk,Redding,S02000447
145,Falkirk,Hallglen and Glen Village,S02000446
146,Falkirk,Banknock and Haggs,S02000445
147,Falkirk,"Brightons, Reddingmuirhead and Wallacest",S02000444
148,Falkirk,"Lochgreen, Lionthorn and Prospecthill",S02000443
149,Falkirk,Braes Villages,S02000440
150,Falkirk,Shieldhill,S02000441
151,Falkirk,Maddiston and Rumford,S02000442
152,Falkirk,Grangemouth Town Centre,S02000468
153,Falkirk,Merchiston and New Carron Village,S02000467
154,Falkirk,Kinneil,S02000466
155,Falkirk,Bonnybridge,S02000465
156,Falkirk,Kersiebank,S02000464
157,Falkirk,Newlands,S02000463
158,Falkirk,Middlefield,S02000462
159,Falkirk,Head of Muir and Dennyloanhead,S02000461
160,Falkirk,Grahamston,S02000460
161,Falkirk,Camelon East,S02000459
162,Falkirk,Camelon West,S02000458
163,Falkirk,Newtown,S02000457
164,Falkirk,Bowhouse,S02000456
165,Falkirk,Nethermains,S02000469
166,Falkirk,Bainsford and Langlees,S02000470
167,Falkirk,Larbert Village and South Broomage,S02000471
168,Falkirk,Stenhousemuir East,S02000472
169,Falkirk,"Fankerton, Stoneywood and Denny Town",S02000473
170,Fife,Tayport,S02000583
171,Fife,Newport and Wormit,S02000582
172,Fife,Balmullo and Gauldry,S02000581
173,Fife,Leuchars and Guardbridge,S02000580
174,Fife,Newburgh,S02000579
175,Fife,St Andrews North and Strathkinness,S02000578
176,Fife,St Andrews Central,S02000577
177,Fife,St Andrews South East,S02000576
178,Fife,Cupar Central,S02000575
179,Fife,Cupar East,S02000574
180,Fife,Cupar West and Springfield,S02000573
181,Fife,St Andrews South West,S02000572
182,Fife,"Dairsie, Ceres and Dunino",S02000571
183,Fife,Auchtermuchty and Gateside,S02000570
184,Fife,Crail and Boarhills,S02000569
185,Fife,Kettle and Ladybank,S02000568
186,Fife,Falkland and Freuchie,S02000567
187,Fife,Leven East and Bonnybank,S02000566
188,Fife,Anstruther,S02000565
189,Fife,"Elie, Colinsburgh and Largoward",S02000564
190,Fife,Largo,S02000563
191,Fife,Markinch and Star,S02000562
192,Fife,Glenrothes Balgeddie,S02000561
193,Fife,Glenrothes Collydean,S02000560
194,Fife,"Glenrothes Balfarg, Pitcairn and Coul",S02000559
195,Fife,St Monans and Pittenweem,S02000558
196,Fife,Kennoway,S02000557
197,Fife,Glenrothes Cadham and Pitcoudie,S02000556
198,Fife,Leven North,S02000555
199,Fife,Glenrothes South Parks,S02000554
200,Fife,Glenrothes Macedonia and Tanshall,S02000553
201,Fife,Leven West,S02000552
202,Fife,Leslie and Newcastle,S02000551
203,Fife,Windygates and Coaltown,S02000550
204,Fife,Glenrothes Auchmuty,S02000549
205,Fife,Glenrothes Caskieberran and Rimbleton,S02000548
206,Fife,Methil Methilhill,S02000547
207,Fife,Methil East,S02000546
208,Fife,Glenrothes Woodside,S02000545
209,Fife,Glenrothes Pitteuchar,S02000544
210,Fife,Methil West,S02000543
211,Fife,Glenrothes Stenton and Finglassie,S02000542
212,Fife,Methil Denbeath,S02000541
213,Fife,Buckhaven and Muiredge,S02000540
214,Fife,Thornton and Kinglassie,S02000539
215,Fife,Ballingry,S02000538
216,Fife,Wemyss,S02000537
217,Fife,Lochore and Crosshill,S02000536
218,Fife,Kirkcaldy Chapel,S02000535
219,Fife,Cardenden,S02000534
220,Fife,Kirkcaldy Dunnikier,S02000533
221,Fife,Kelty West,S02000532
222,Fife,Kelty East,S02000531
223,Fife,Kirkcaldy Gallatown and Sinclairtown,S02000530
224,Fife,Lochgelly East,S02000529
225,Fife,Dysart,S02000528
226,Fife,Kirkcaldy Templehall West,S02000527
227,Fife,Kirkcaldy Templehall East,S02000526
228,Fife,Lochgelly West and Lumphinnans,S02000525
229,Fife,Kirkcaldy Hayfield and Smeaton,S02000524
230,Fife,Kirkcaldy Newliston and Redcraigs,S02000523
231,Fife,Kirkcaldy Pathhead,S02000522
232,Fife,Saline and Gowkall,S02000521
233,Fife,Kirkcaldy Bennochy West,S02000520
234,Fife,Cowdenbeath North,S02000519
235,Fife,Kirkcaldy Bennochy East,S02000518
236,Fife,Kirkcaldy Raith,S02000517
237,Fife,Kirkcaldy Central,S02000516
238,Fife,Cowdenbeath South,S02000515
239,Fife,Hill of Beath,S02000514
240,Fife,Dunfermline Townhill and Kingseat,S02000513
241,Fife,Kirkcaldy Linktown and Seafield,S02000512
242,Fife,"Oakley, Comrie and Blairhall",S02000511
243,Fife,Dunfermline Milesmark and Wellwood,S02000510
244,Fife,Dunfermline Bellyeoman,S02000509
245,Fife,Aberdour and Auchtertool,S02000508
246,Fife,Kinghorn,S02000507
247,Fife,Kincardine,S02000506
248,Fife,Dunfermline Headwell,S02000505
249,Fife,Dunfermline Baldridgeburn,S02000504
250,Fife,Dunfermline Garvock Hill,S02000503
251,Fife,Dunfermline Touch and Woodmill,S02000502
252,Fife,"Valleyfield, Culross and Torryburn",S02000501
253,Fife,Burntisland West,S02000500
254,Fife,Dunfermline Central,S02000499
255,Fife,Crossgates and Halbeath,S02000498
256,Fife,Dunfermline Abbeyview North,S02000497
257,Fife,Dunfermline Brucefield,S02000496
258,Fife,Burntisland East,S02000495
259,Fife,Dunfermline Abbeyview South,S02000494
260,Fife,Dunfermline East and Pitcorthie East,S02000493
261,Fife,Dunfermline Pitcorthie West,S02000492
262,Fife,"Crossford, Charleston and Limekilns",S02000491
263,Fife,Cairneyhill and Crombie,S02000490
264,Fife,Rosyth North,S02000489
265,Fife,Rosyth East,S02000488
266,Fife,Dalgety Bay East,S02000487
267,Fife,Rosyth Central,S02000486
268,Fife,Dalgety Bay West and Hillend,S02000485
269,Fife,Dalgety Bay Central,S02000484
270,Fife,Inverkeithing East,S02000483
271,Fife,Rosyth South,S02000482
272,Fife,North Queensferry and Inverkeithing West,S02000481
273,Highland,Fort William South,S02000717
274,Highland,Lochaber West,S02000718
275,Highland,Fort William North,S02000719
276,Highland,Lochaber East and North,S02000720
277,Highland,Badenoch and Strathspey South,S02000721
278,Highland,Loch Ness,S02000722
279,Highland,Badenoch and Strathspey Central,S02000723
280,Highland,Skye South,S02000724
281,Highland,Lochlash,S02000725
282,Highland,Badenoch and Strathspey North,S02000726
283,Highland,Inverness East Rural,S02000727
284,Highland,Inverness West Rural,S02000728
285,Highland,Inverness Inshes and Slackbuie,S02000729
286,Highland,Inverness Lochardil and Holm Mains,S02000730
287,Highland,Inverness Kinmylies and South West,S02000731
288,Highland,Inverness Drummond,S02000732
289,Highland,Inverness Hilton,S02000733
290,Highland,Inverness Drakies,S02000734
291,Highland,Inverness Ballifeary and Dalneigh,S02000735
292,Highland,Inverness Crown and Haugh,S02000736
293,Highland,Inverness Westhill,S02000737
294,Highland,Nairn Rural,S02000738
295,Highland,Inverness Muirtown,S02000739
296,Highland,Inverness Smithton,S02000740
297,Highland,Inverness Scorguie,S02000741
298,Highland,"Inverness Central, Raigmore and Longman",S02000742
299,Highland,Inverness Culloden and Balloch,S02000743
300,Highland,Inverness Merkinch,S02000744
301,Highland,Skye North East,S02000745
302,Highland,Skye North West,S02000746
303,Highland,Conon and Muir of Ord,S02000747
304,Highland,Black Isle South,S02000748
305,Highland,Nairn West,S02000749
306,Highland,Nairn East,S02000750
307,Highland,Ross and Cromarty South West,S02000751
308,Highland,Dingwall,S02000752
309,Highland,Black Isle North,S02000753
310,Highland,Ross and Cromarty Central,S02000754
311,Highland,Alness,S02000755
312,Highland,Invergordon,S02000756
313,Highland,Ross and Cromarty East,S02000757
314,Highland,Seaboard,S02000758
315,Highland,Tain,S02000759
316,Highland,Ross and Cromarty North West,S02000760
317,Highland,Sutherland South,S02000761
318,Highland,Sutherland East,S02000762
319,Highland,Caithness South,S02000763
320,Highland,Sutherland North and West,S02000764
321,Highland,Wick South,S02000765
322,Highland,Wick North,S02000766
323,Highland,Caithness North West,S02000767
324,Highland,Caithness North East,S02000768
325,Highland,Thurso East,S02000769
326,Highland,Thurso West,S02000770
327,Inverclyde,Kilmacolm Central,S02000771
328,Inverclyde,"Kilmacolm, Quarriers, Greenock Upper East/Central",S02000772
329,Inverclyde,Inverkip and Wemyss Bay,S02000773
330,Inverclyde,Port Glasgow Upper East,S02000774
331,Inverclyde,"Port Glasgow Mid, East and Central",S02000775
332,Inverclyde,"Port Glasgow Upper, West and Central",S02000776
333,Inverclyde,"West Braeside, East Inverkip and West Gourock",S02000777
334,Inverclyde,Greenock East,S02000778
335,Inverclyde,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton",S02000779
336,Inverclyde,Greenock Upper Central,S02000780
337,Inverclyde,Greenock Town Centre and East Central,S02000781
338,Inverclyde,"Braeside, Branchton, Lower Larkfield and Ravenscraig",S02000782
339,Inverclyde,"Lower Bow & Larkfield, Fancy Farm, Mallard Bowl",S02000783
340,Inverclyde,Greenock West and Central,S02000784
341,Inverclyde,"Gourock Central, Upper East and IRH",S02000785
342,Inverclyde,Gourock Upper and West Central & Upper Larkfield,S02000786
343,Inverclyde,"Gourock East, Greenock West and Lyle Road",S02000787
344,Midlothian,Mayfield,S02000799
345,Midlothian,Bonnyrigg South,S02000800
346,Midlothian,Easthouses,S02000801
347,Midlothian,Bonnyrigg North,S02000802
348,Midlothian,Loanhead,S02000803
349,Midlothian,Eskbank,S02000804
350,Midlothian,Dalkeith,S02000805
351,Midlothian,Thornybank,S02000806
352,Midlothian,Shawfair,S02000807
353,Midlothian,Rural South Midlothian,S02000788
354,Midlothian,Penicuik Southeast,S02000789
355,Midlothian,Penicuik Southwest,S02000790
356,Midlothian,Penicuik East,S02000791
357,Midlothian,Penicuik North,S02000792
358,Midlothian,Gorebridge and Middleton,S02000793
359,Midlothian,Pathhead and Rural East Midlothian,S02000794
360,Midlothian,North Gorebridge,S02000795
361,Midlothian,Newbattle and Dalhousie,S02000796
362,Midlothian,Pentland,S02000797
363,Midlothian,Newtongrange,S02000798
364,Moray,Keith and Fife Keith,S02000811
365,Moray,Lossiemouth West,S02000831
366,Moray,Lossiemouth East and Seatown,S02000830
367,Moray,"Burghead, Roseisle and Laich",S02000829
368,Moray,Buckie Central East,S02000828
369,Moray,Buckie West and Mains of Buckie,S02000827
370,Moray,"Lhanbryde, Urquhart, Pitgavney and seaward",S02000826
371,Moray,Elgin Bishopmill West and Newfield,S02000825
372,Moray,Elgin Bishopmill East and Ladyhill,S02000824
373,Moray,Elgin Cathedral to Ashgrove and Pinefield,S02000823
374,Moray,Elgin Central West,S02000822
375,Moray,"Mosstodloch, Portgordon and seaward",S02000821
376,Moray,"Cullen, Portknockie, Findochty, Drybridge and Berryhillock",S02000820
377,Moray,South Speyside and the Cabrach,S02000808
378,Moray,North Speyside,S02000809
379,Moray,Rural Keith and Strathisla,S02000810
380,Moray,New Elgin East,S02000819
381,Moray,New Elgin West,S02000818
382,Moray,Forres Central East and seaward,S02000817
383,Moray,"Heldon West, Fogwatt to Inchberry",S02000816
384,Moray,"Findhorn, Kinloss and Pluscarden Valley",S02000815
385,Moray,Forres South West and Mannachie,S02000814
386,Moray,"Fochabers, Aultmore, Clochan and Ordiquish",S02000813
387,Moray,"Rafford, Dallas, Dyke to Dava",S02000812
388,North Ayrshire,Kilwinning Pennyburn,S02000853
389,North Ayrshire,Saltcoats North East,S02000852
390,North Ayrshire,Kilwinning West and Blacklan,S02000851
391,North Ayrshire,Stevenston Hayocks,S02000850
392,North Ayrshire,Ardrossan Central,S02000849
393,North Ayrshire,Saltcoats North West,S02000848
394,North Ayrshire,Stevenston North West,S02000847
395,North Ayrshire,Saltcoats Central,S02000846
396,North Ayrshire,Irvine Castlepark North,S02000845
397,North Ayrshire,Stevenston Ardeer,S02000844
398,North Ayrshire,Irvine Perceton and Lawthorn,S02000843
399,North Ayrshire,Springside and Rural,S02000842
400,North Ayrshire,Arran,S02000832
401,North Ayrshire,Irvine Tarryholme,S02000833
402,North Ayrshire,Dreghorn,S02000834
403,North Ayrshire,Irvine Fullarton,S02000835
404,North Ayrshire,Irvine Broomlands,S02000836
405,North Ayrshire,Irvine Bourtreehill,S02000837
406,North Ayrshire,Irvine Central,S02000838
407,North Ayrshire,Irvine East,S02000839
408,North Ayrshire,Irvine Girdle Toll and Staneca,S02000840
409,North Ayrshire,Irvine Castlepark South,S02000841
410,North Ayrshire,Dalry East and Rural,S02000859
411,North Ayrshire,Fairlie and Rural,S02000860
412,North Ayrshire,Dalry West,S02000861
413,North Ayrshire,Beith East and Rural,S02000862
414,North Ayrshire,Kilbirnie South and Longbar,S02000863
415,North Ayrshire,Beith West,S02000864
416,North Ayrshire,Kilbirnie North,S02000865
417,North Ayrshire,Largs Central and Cumbrae,S02000866
418,North Ayrshire,Skelmorlie and Rural,S02000867
419,North Ayrshire,Largs South,S02000868
420,North Ayrshire,Largs North,S02000869
421,North Ayrshire,West Kilbride and Seamill,S02000858
422,North Ayrshire,Kilwinning Central and North,S02000857
423,North Ayrshire,Kilwinning Whitehirst Park and Woodside,S02000856
424,North Ayrshire,Ardrossan North East,S02000855
425,North Ayrshire,Ardrossan North West,S02000854
426,Orkney Islands,"Stromness, Sandwick and Stenness",S02000946
427,Orkney Islands,Isles,S02000947
428,Orkney Islands,West Mainland,S02000948
429,Orkney Islands,East Mainland,S02000943
430,Orkney Islands,West Kirkwall,S02000944
431,Orkney Islands,East Kirkwall,S02000945
432,Perth and Kinross,Auchterarder,S02000953
433,Perth and Kinross,Gannochy and Walnut Grove,S02000961
434,Perth and Kinross,"Comrie, Gilmerton and St Fillans",S02000960
435,Perth and Kinross,Moncrieffe and Friarton,S02000959
436,Perth and Kinross,Crieff North,S02000958
437,Perth and Kinross,Crieff South,S02000957
438,Perth and Kinross,Aberuthven and Almondbank,S02000956
439,Perth and Kinross,Bridge of Earn and Abernethy,S02000955
440,Perth and Kinross,Burghmuir and Oakbank,S02000962
441,Perth and Kinross,"Viewlands, Craigie and Wellshill",S02000963
442,Perth and Kinross,"Central, North Inch and South Inch",S02000964
443,Perth and Kinross,Letham,S02000965
444,Perth and Kinross,Western Edge,S02000966
445,Perth and Kinross,Muirton,S02000967
446,Perth and Kinross,Scone,S02000968
447,Perth and Kinross,"Hillyland, Tulloch and Inveralmond",S02000969
448,Perth and Kinross,Errol and Inchture,S02000970
449,Perth and Kinross,North Muirton and Old Scone,S02000971
450,Perth and Kinross,"Guildtown, Balbeggie and St Madoes",S02000972
451,Perth and Kinross,"Invergowrie, Longforgan and Abernyte",S02000973
452,Perth and Kinross,Luncarty and Dunkeld,S02000974
453,Perth and Kinross,Stanley and Murthly,S02000975
454,Perth and Kinross,Coupar Angus and Meigle,S02000976
455,Perth and Kinross,Blairgowrie West,S02000977
456,Perth and Kinross,Blairgowrie East (Rattray),S02000978
457,Perth and Kinross,Alyth,S02000979
458,Perth and Kinross,Pitlochry,S02000980
459,Perth and Kinross,Rannoch and Aberfeldy,S02000981
460,Perth and Kinross,"Blair Atholl, Strathardle and Glenshee",S02000982
461,Perth and Kinross,"Glenfarg, Dunning and Rhynd",S02000954
462,Perth and Kinross,"Muthill, Greenloaning and Gleneagles",S02000952
463,Perth and Kinross,Milnathort and Crook of Devon,S02000951
464,Perth and Kinross,Kinross,S02000950
465,Perth and Kinross,"Powmill, Cleish and Scotlandwell",S02000949
466,Scottish Borders,Newcastleton and Teviot area,S02001021
467,Scottish Borders,Hawick West End,S02001022
468,Scottish Borders,Hawick Central,S02001023
469,Scottish Borders,Hawick North,S02001024
470,Scottish Borders,Cheviot West,S02001025
471,Scottish Borders,Burnfoot and area,S02001026
472,Scottish Borders,Jedburgh,S02001027
473,Scottish Borders,"Ettrick, Yarrow and Yair",S02001028
474,Scottish Borders,Cheviot East,S02001029
475,Scottish Borders,Selkirk,S02001030
476,Scottish Borders,St Boswells and Newtown area,S02001031
477,Scottish Borders,Kelso South,S02001032
478,Scottish Borders,Melrose and Tweedbank area,S02001033
479,Scottish Borders,Kelso North,S02001034
480,Scottish Borders,Galashiels South,S02001035
481,Scottish Borders,Langlee,S02001036
482,Scottish Borders,Galashiels West,S02001037
483,Scottish Borders,Galashiels North,S02001038
484,Scottish Borders,Innerleithen and Walkerburn area,S02001039
485,Scottish Borders,West Linton and Broughton area,S02001040
486,Scottish Borders,Peebles South,S02001041
487,Scottish Borders,Peebles North,S02001042
488,Scottish Borders,Coldstream and area,S02001043
489,Scottish Borders,"Earlston, Lauder and Stow area",S02001044
490,Scottish Borders,Berwickshire West,S02001045
491,Scottish Borders,Duns,S02001046
492,Scottish Borders,Berwickshire Central,S02001047
493,Scottish Borders,Berwickshire East,S02001048
494,Scottish Borders,Eyemouth,S02001049
495,Shetland Islands,Lerwick South,S02001051
496,Shetland Islands,Lerwick North,S02001052
497,Shetland Islands,East and West Mainland,S02001054
498,Shetland Islands,North Mainland,S02001055
499,Shetland Islands,North and East Isles,S02001056
500,Shetland Islands,Central Shetland,S02001053
501,Shetland Islands,Shetland South,S02001050
502,South Ayrshire,Carrick North,S02001060
503,South Ayrshire,Maybole,S02001061
504,South Ayrshire,Alloway and Doonfoot,S02001062
505,South Ayrshire,Coylton,S02001063
506,South Ayrshire,Castlehill and Kincaidston,S02001064
507,South Ayrshire,Belmont,S02001065
508,South Ayrshire,Girvan Glendoune,S02001058
509,South Ayrshire,Holmston and Forehill,S02001066
510,South Ayrshire,Ayr South Harbour and Town Centre,S02001067
511,South Ayrshire,Dalmilling and Craigie,S02001068
512,South Ayrshire,"Ayr North Harbour, Wallacetown and Newton South",S02001069
513,South Ayrshire,"Lochside, Braehead and Whitletts",S02001070
514,South Ayrshire,Newton North,S02001071
515,South Ayrshire,Heathfield,S02001072
516,South Ayrshire,Prestwick East,S02001073
517,South Ayrshire,Prestwick West,S02001074
518,South Ayrshire,Prestwick Airport and Monkton,S02001075
519,South Ayrshire,"Annbank, Mossblown and Tarbolton - the Coalfields",S02001076
520,South Ayrshire,Troon,S02001077
521,South Ayrshire,Muirhead,S02001078
522,South Ayrshire,Barassie,S02001079
523,South Ayrshire,"Dundonald, Loans and Symington",S02001080
524,South Ayrshire,Carrick South,S02001057
525,South Ayrshire,Girvan Ailsa,S02001059
526,South Lanarkshire,"Larkhall Central, Raploch, Millheugh and Burnhead",S02001102
527,South Lanarkshire,Hareleeshill,S02001101
528,South Lanarkshire,Carluke East,S02001100
529,South Lanarkshire,Carluke South,S02001099
530,South Lanarkshire,"Glassford, Quarter and Allanton",S02001098
531,South Lanarkshire,Strutherhill,S02001097
532,South Lanarkshire,"Crossford, Braidwood and Yieldshields",S02001096
533,South Lanarkshire,Ashgill and Netherburn,S02001095
534,South Lanarkshire,Strathaven North,S02001094
535,South Lanarkshire,"Carstairs, Carstairs Junction and Carnwath",S02001093
536,South Lanarkshire,Stonehouse,S02001092
537,South Lanarkshire,Lanark North East,S02001091
538,South Lanarkshire,Lanark North West,S02001090
539,South Lanarkshire,Strathaven South,S02001089
540,South Lanarkshire,Kirkmuirhill and Blackwood,S02001088
541,South Lanarkshire,Hazelbank and Kirkfieldbank,S02001087
542,South Lanarkshire,Lanark South,S02001086
543,South Lanarkshire,"Biggar, Symington, Thankerton and Dolphinton",S02001085
544,South Lanarkshire,Lesmahagow,S02001084
545,South Lanarkshire,"Chapelton, Glengavel and Sandford",S02001083
546,South Lanarkshire,"Douglas, Coalburn and Rigside",S02001082
547,South Lanarkshire,Clydesdale South,S02001081
548,South Lanarkshire,Whitlawburn and Greenlees,S02001148
549,South Lanarkshire,Bothwell North,S02001147
550,South Lanarkshire,Fernhill and Cathkin,S02001146
551,South Lanarkshire,Bothwell South,S02001145
552,South Lanarkshire,Blantytre North and Coatshill,S02001144
553,South Lanarkshire,Blantyre South and Wheatlands,S02001143
554,South Lanarkshire,Whitehill,S02001142
555,South Lanarkshire,Burnbank North,S02001141
556,South Lanarkshire,High Blantyre,S02001140
557,South Lanarkshire,Hamilton Centre and Low Parks,S02001139
558,South Lanarkshire,Calderwood East,S02001138
559,South Lanarkshire,Burnbank Central and Udston,S02001137
560,South Lanarkshire,Calderwood Central,S02001136
561,South Lanarkshire,Stewartfield East,S02001135
562,South Lanarkshire,Hillhouse,S02001134
563,South Lanarkshire,Burnbank South and Chantinghall,S02001133
564,South Lanarkshire,Calderwood West and Nerston,S02001132
565,South Lanarkshire,Stewartfield West,S02001131
566,South Lanarkshire,East Mains,S02001130
567,South Lanarkshire,Laighstonehall,S02001129
568,South Lanarkshire,Earnock,S02001128
569,South Lanarkshire,Vicarland and Cairns,S02001149
570,South Lanarkshire,Burnside and Springhall,S02001150
571,South Lanarkshire,Low Blantyre and Bardykes,S02001151
572,South Lanarkshire,Spittal,S02001152
