"","ReferenceArea","code","value","variable","Area"
"14450","Nairn East","S02000750",11241,"All","Intermediate Zones"
"14451","Ross and Cromarty South West","S02000751",7695,"All","Intermediate Zones"
"14452","Dingwall","S02000752",9668,"All","Intermediate Zones"
"14453","Black Isle North","S02000753",6973,"All","Intermediate Zones"
"14454","Ross and Cromarty Central","S02000754",7314,"All","Intermediate Zones"
"14455","Alness","S02000755",11504,"All","Intermediate Zones"
"14456","Invergordon","S02000756",10369,"All","Intermediate Zones"
"14457","Ross and Cromarty East","S02000757",8816,"All","Intermediate Zones"
"14458","Seaboard","S02000758",7921,"All","Intermediate Zones"
"14459","Tain","S02000759",10259,"All","Intermediate Zones"
"14460","Ross and Cromarty North West","S02000760",7302,"All","Intermediate Zones"
"14461","Sutherland South","S02000761",8653,"All","Intermediate Zones"
"14462","Sutherland East","S02000762",12905,"All","Intermediate Zones"
"14463","Caithness South","S02000763",11205,"All","Intermediate Zones"
"14464","Sutherland North and West","S02000764",9004,"All","Intermediate Zones"
"14465","Wick South","S02000765",13078,"All","Intermediate Zones"
"14466","Wick North","S02000766",15350,"All","Intermediate Zones"
"14467","Caithness North West","S02000767",8216,"All","Intermediate Zones"
"14468","Caithness North East","S02000768",9156,"All","Intermediate Zones"
"14469","Thurso East","S02000769",11568,"All","Intermediate Zones"
"14470","Thurso West","S02000770",9862,"All","Intermediate Zones"
"14471","Kilmacolm Central","S02000771",7810,"All","Intermediate Zones"
"14472","Kilmacolm, Quarriers, Greenock Upper East/Central","S02000772",8892,"All","Intermediate Zones"
"14473","Inverkip and Wemyss Bay","S02000773",7261,"All","Intermediate Zones"
"14474","Port Glasgow Upper East","S02000774",12424,"All","Intermediate Zones"
"14475","Port Glasgow Mid, East and Central","S02000775",13684,"All","Intermediate Zones"
"14476","Port Glasgow Upper, West and Central","S02000776",12578,"All","Intermediate Zones"
"14477","West Braeside, East Inverkip and West Gourock","S02000777",8646,"All","Intermediate Zones"
"14478","Greenock East","S02000778",12517,"All","Intermediate Zones"
"14479","Bow Farm, Barrs Cottage, Cowdenknowes and Overton","S02000779",11813,"All","Intermediate Zones"
"14480","Greenock Upper Central","S02000780",14651,"All","Intermediate Zones"
"14481","Greenock Town Centre and East Central","S02000781",18139,"All","Intermediate Zones"
"14482","Braeside, Branchton, Lower Larkfield and Ravenscraig","S02000782",13529,"All","Intermediate Zones"
"14483","Lower Bow & Larkfield, Fancy Farm, Mallard Bowl","S02000783",15060,"All","Intermediate Zones"
"14484","Greenock West and Central","S02000784",12136,"All","Intermediate Zones"
"14485","Gourock Central, Upper East and IRH","S02000785",11017,"All","Intermediate Zones"
"14486","Gourock Upper and West Central & Upper Larkfield","S02000786",9730,"All","Intermediate Zones"
"14487","Gourock East, Greenock West and Lyle Road","S02000787",12338,"All","Intermediate Zones"
"14488","Rural South Midlothian","S02000788",8916,"All","Intermediate Zones"
"14489","Penicuik Southeast","S02000789",12314,"All","Intermediate Zones"
"14490","Penicuik Southwest","S02000790",7897,"All","Intermediate Zones"
"14491","Penicuik East","S02000791",11416,"All","Intermediate Zones"
"14492","Penicuik North","S02000792",7369,"All","Intermediate Zones"
"14493","Gorebridge and Middleton","S02000793",13821,"All","Intermediate Zones"
"14494","Pathhead and Rural East Midlothian","S02000794",6752,"All","Intermediate Zones"
"14495","North Gorebridge","S02000795",11838,"All","Intermediate Zones"
"14496","Newbattle and Dalhousie","S02000796",6170,"All","Intermediate Zones"
"14497","Pentland","S02000797",8731,"All","Intermediate Zones"
"14498","Newtongrange","S02000798",11350,"All","Intermediate Zones"
"14499","Mayfield","S02000799",10487,"All","Intermediate Zones"
"14500","Bonnyrigg South","S02000800",10733,"All","Intermediate Zones"
"14501","Easthouses","S02000801",9946,"All","Intermediate Zones"
"14502","Bonnyrigg North","S02000802",10748,"All","Intermediate Zones"
"14503","Loanhead","S02000803",10908,"All","Intermediate Zones"
"14504","Eskbank","S02000804",6897,"All","Intermediate Zones"
"14505","Dalkeith","S02000805",11857,"All","Intermediate Zones"
"14506","Thornybank","S02000806",10445,"All","Intermediate Zones"
"14507","Shawfair","S02000807",9505,"All","Intermediate Zones"
"14508","South Speyside and the Cabrach","S02000808",7668,"All","Intermediate Zones"
"14509","North Speyside","S02000809",6403,"All","Intermediate Zones"
"14510","Rural Keith and Strathisla","S02000810",5545,"All","Intermediate Zones"
"14511","Keith and Fife Keith","S02000811",7987,"All","Intermediate Zones"
"14512","Rafford, Dallas, Dyke to Dava","S02000812",5352,"All","Intermediate Zones"
"14513","Fochabers, Aultmore, Clochan and Ordiquish","S02000813",9184,"All","Intermediate Zones"
"14514","Forres South West and Mannachie","S02000814",7570,"All","Intermediate Zones"
"14515","Findhorn, Kinloss and Pluscarden Valley","S02000815",5343,"All","Intermediate Zones"
"14516","Heldon West, Fogwatt to Inchberry","S02000816",6570,"All","Intermediate Zones"
"14517","Forres Central East and seaward","S02000817",9065,"All","Intermediate Zones"
"14518","New Elgin West","S02000818",7014,"All","Intermediate Zones"
"14519","New Elgin East","S02000819",9367,"All","Intermediate Zones"
"14520","Cullen, Portknockie, Findochty, Drybridge and Berryhillock","S02000820",7500,"All","Intermediate Zones"
"14521","Mosstodloch, Portgordon and seaward","S02000821",7766,"All","Intermediate Zones"
"14522","Elgin Central West","S02000822",7296,"All","Intermediate Zones"
"14523","Elgin Cathedral to Ashgrove and Pinefield","S02000823",10078,"All","Intermediate Zones"
"14524","Elgin Bishopmill East and Ladyhill","S02000824",7983,"All","Intermediate Zones"
"14525","Elgin Bishopmill West and Newfield","S02000825",7837,"All","Intermediate Zones"
"14526","Lhanbryde, Urquhart, Pitgavney and seaward","S02000826",8578,"All","Intermediate Zones"
"14527","Buckie West and Mains of Buckie","S02000827",8337,"All","Intermediate Zones"
"14528","Buckie Central East","S02000828",8553,"All","Intermediate Zones"
"14529","Burghead, Roseisle and Laich","S02000829",6567,"All","Intermediate Zones"
"14530","Lossiemouth East and Seatown","S02000830",6900,"All","Intermediate Zones"
"14531","Lossiemouth West","S02000831",6321,"All","Intermediate Zones"
"14532","Arran","S02000832",15766,"All","Intermediate Zones"
"14533","Irvine Tarryholme","S02000833",13608,"All","Intermediate Zones"
"14534","Dreghorn","S02000834",14999,"All","Intermediate Zones"
"14535","Irvine Fullarton","S02000835",20475,"All","Intermediate Zones"
"14536","Irvine Broomlands","S02000836",11663,"All","Intermediate Zones"
"14537","Irvine Bourtreehill","S02000837",14369,"All","Intermediate Zones"
"14538","Irvine Central","S02000838",15766,"All","Intermediate Zones"
"14539","Irvine East","S02000839",17244,"All","Intermediate Zones"
"14540","Irvine Girdle Toll and Staneca","S02000840",12980,"All","Intermediate Zones"
"14541","Irvine Castlepark South","S02000841",15829,"All","Intermediate Zones"
"14542","Springside and Rural","S02000842",12008,"All","Intermediate Zones"
"14543","Irvine Perceton and Lawthorn","S02000843",10980,"All","Intermediate Zones"
"14544","Stevenston Ardeer","S02000844",14902,"All","Intermediate Zones"
"14545","Irvine Castlepark North","S02000845",14067,"All","Intermediate Zones"
"14546","Saltcoats Central","S02000846",19181,"All","Intermediate Zones"
"14547","Stevenston North West","S02000847",14703,"All","Intermediate Zones"
"14548","Saltcoats North West","S02000848",10624,"All","Intermediate Zones"
"14549","Ardrossan Central","S02000849",17419,"All","Intermediate Zones"
"14550","Stevenston Hayocks","S02000850",13213,"All","Intermediate Zones"
"14551","Kilwinning West and Blacklan","S02000851",16349,"All","Intermediate Zones"
"14552","Saltcoats North East","S02000852",14216,"All","Intermediate Zones"
"14553","Kilwinning Pennyburn","S02000853",12952,"All","Intermediate Zones"
"14554","Ardrossan North West","S02000854",9628,"All","Intermediate Zones"
"14555","Ardrossan North East","S02000855",11877,"All","Intermediate Zones"
"14556","Kilwinning Whitehirst Park and Woodside","S02000856",8337,"All","Intermediate Zones"
"14557","Kilwinning Central and North","S02000857",15214,"All","Intermediate Zones"
"14558","West Kilbride and Seamill","S02000858",12663,"All","Intermediate Zones"
"14559","Dalry East and Rural","S02000859",14409,"All","Intermediate Zones"
"14560","Fairlie and Rural","S02000860",9651,"All","Intermediate Zones"
"14561","Dalry West","S02000861",11433,"All","Intermediate Zones"
"14562","Beith East and Rural","S02000862",11442,"All","Intermediate Zones"
"14563","Kilbirnie South and Longbar","S02000863",13890,"All","Intermediate Zones"
"14564","Beith West","S02000864",11111,"All","Intermediate Zones"
"14565","Kilbirnie North","S02000865",12812,"All","Intermediate Zones"
"14566","Largs Central and Cumbrae","S02000866",12439,"All","Intermediate Zones"
"14567","Skelmorlie and Rural","S02000867",8259,"All","Intermediate Zones"
"14568","Largs South","S02000868",10924,"All","Intermediate Zones"
"14569","Largs North","S02000869",10889,"All","Intermediate Zones"
"14570","Overtown","S02000870",12831,"All","Intermediate Zones"
"14571","Pather","S02000871",12556,"All","Intermediate Zones"
"14572","Wishaw East","S02000872",9551,"All","Intermediate Zones"
"14573","Wishaw South","S02000873",15581,"All","Intermediate Zones"
"14574","Netherton and Kirkhill","S02000874",11794,"All","Intermediate Zones"
"14575","Newmains","S02000875",11781,"All","Intermediate Zones"
"14576","Muirhouse and Knowetop","S02000876",10585,"All","Intermediate Zones"
"14577","Wishaw North","S02000877",12992,"All","Intermediate Zones"
"14578","Craigneuk Wishaw","S02000878",15896,"All","Intermediate Zones"
"14579","Ladywell","S02000879",8160,"All","Intermediate Zones"
"14580","Coltness","S02000880",12842,"All","Intermediate Zones"
"14581","Motherwell South","S02000881",19734,"All","Intermediate Zones"
"14582","Motherwell West","S02000882",14134,"All","Intermediate Zones"
"14583","Motherwell North","S02000883",12193,"All","Intermediate Zones"
"14584","Allanton","S02000884",9430,"All","Intermediate Zones"
"14585","Cleland","S02000885",11016,"All","Intermediate Zones"
"14586","Forgewood","S02000886",13590,"All","Intermediate Zones"
"14587","Carfin, Cleekhimin and New Stevenston","S02000887",12362,"All","Intermediate Zones"
"14588","Orbiston","S02000888",11765,"All","Intermediate Zones"
"14589","Stane","S02000889",11580,"All","Intermediate Zones"
"14590","Milnwood","S02000890",10756,"All","Intermediate Zones"
"14591","Newarthill","S02000891",12967,"All","Intermediate Zones"
"14592","Bellshill South","S02000892",12561,"All","Intermediate Zones"
"14593","Holytown","S02000893",11557,"All","Intermediate Zones"
"14594","Shotts","S02000894",9886,"All","Intermediate Zones"
"14595","Fallside","S02000895",12769,"All","Intermediate Zones"
"14596","Carfin North","S02000896",11391,"All","Intermediate Zones"
"14597","Hattonrigg","S02000897",13355,"All","Intermediate Zones"
"14598","Bellshill Central","S02000898",12993,"All","Intermediate Zones"
"14599","Viewpark","S02000899",13854,"All","Intermediate Zones"
"14600","Shawhead and Whifflet","S02000900",15361,"All","Intermediate Zones"
"14601","Birkenshaw","S02000901",8755,"All","Intermediate Zones"
"14602","Chapelhall West","S02000902",14239,"All","Intermediate Zones"
"14603","Chapelhall East","S02000903",9307,"All","Intermediate Zones"
"14604","Greenend and Carnbroe","S02000904",9344,"All","Intermediate Zones"
"14605","Kirkshaws","S02000905",12923,"All","Intermediate Zones"
"14606","Harthill and Salsburgh","S02000906",11334,"All","Intermediate Zones"
"14607","Kirkwood and Bargeddie","S02000907",13734,"All","Intermediate Zones"
"14608","Cairnhill","S02000908",10202,"All","Intermediate Zones"
"14609","Dundyvan","S02000909",13305,"All","Intermediate Zones"
"14610","Petersburn","S02000910",11072,"All","Intermediate Zones"
"14611","Cliftonville South","S02000911",12784,"All","Intermediate Zones"
"14612","Gartlea","S02000912",13279,"All","Intermediate Zones"
"14613","Coatbridge West","S02000913",12473,"All","Intermediate Zones"
"14614","Craigneuk Airdrie","S02000914",8545,"All","Intermediate Zones"
"14615","Coatdyke and Whinhall","S02000915",12522,"All","Intermediate Zones"
"14616","Sunnyside and Cliftonville","S02000916",11786,"All","Intermediate Zones"
"14617","Drumgelloch","S02000917",13405,"All","Intermediate Zones"
"14618","Airdrie North","S02000918",13417,"All","Intermediate Zones"
"14619","Townhead","S02000919",12084,"All","Intermediate Zones"
"14620","Thrashbush","S02000920",13909,"All","Intermediate Zones"
"14621","Caldercruix and Plains","S02000921",12344,"All","Intermediate Zones"
"14622","Glenmavis and Greengairs","S02000922",9310,"All","Intermediate Zones"
"14623","Stepps","S02000923",8636,"All","Intermediate Zones"
"14624","Gartcosh and Marnock","S02000924",8291,"All","Intermediate Zones"
"14625","Chryston and Muirhead","S02000925",10585,"All","Intermediate Zones"
"14626","Moodiesburn West","S02000926",11449,"All","Intermediate Zones"
"14627","Moodiesburn East","S02000927",7518,"All","Intermediate Zones"
"14628","Condorrat","S02000928",9934,"All","Intermediate Zones"
"14629","Greenfaulds","S02000929",10128,"All","Intermediate Zones"
"14630","Westfield","S02000930",7435,"All","Intermediate Zones"
"14631","Seafar","S02000931",11438,"All","Intermediate Zones"
"14632","Abronhill South","S02000932",9739,"All","Intermediate Zones"
"14633","Balloch East","S02000933",9297,"All","Intermediate Zones"
"14634","Cumbernauld Central","S02000934",13242,"All","Intermediate Zones"
"14635","Kildrum","S02000935",9574,"All","Intermediate Zones"
"14636","Balloch West","S02000936",6882,"All","Intermediate Zones"
"14637","Abronhill North","S02000937",8934,"All","Intermediate Zones"
"14638","Carrickstone","S02000938",6295,"All","Intermediate Zones"
"14639","Village and Castlecary","S02000939",10259,"All","Intermediate Zones"
"14640","Kilsyth Bogside","S02000940",9578,"All","Intermediate Zones"
"14641","Balmalloch","S02000941",8770,"All","Intermediate Zones"
"14642","Kilsyth East and Croy","S02000942",12809,"All","Intermediate Zones"
"14643","East Mainland","S02000943",6733,"All","Intermediate Zones"
"14644","West Kirkwall","S02000944",11377,"All","Intermediate Zones"
"14645","East Kirkwall","S02000945",10746,"All","Intermediate Zones"
"14646","Stromness, Sandwick and Stenness","S02000946",8057,"All","Intermediate Zones"
"14647","Isles","S02000947",9299,"All","Intermediate Zones"
"14648","West Mainland","S02000948",7886,"All","Intermediate Zones"
"14649","Powmill, Cleish and Scotlandwell","S02000949",8121,"All","Intermediate Zones"
"14650","Kinross","S02000950",9267,"All","Intermediate Zones"
"14651","Milnathort and Crook of Devon","S02000951",8563,"All","Intermediate Zones"
"14652","Muthill, Greenloaning and Gleneagles","S02000952",6862,"All","Intermediate Zones"
"14653","Auchterarder","S02000953",9823,"All","Intermediate Zones"
"14654","Glenfarg, Dunning and Rhynd","S02000954",7263,"All","Intermediate Zones"
"14655","Bridge of Earn and Abernethy","S02000955",9502,"All","Intermediate Zones"
"14656","Aberuthven and Almondbank","S02000956",9171,"All","Intermediate Zones"
"14657","Crieff South","S02000957",11541,"All","Intermediate Zones"
"14658","Crieff North","S02000958",9862,"All","Intermediate Zones"
"14659","Moncrieffe and Friarton","S02000959",8669,"All","Intermediate Zones"
"14660","Comrie, Gilmerton and St Fillans","S02000960",9890,"All","Intermediate Zones"
"14661","Gannochy and Walnut Grove","S02000961",12085,"All","Intermediate Zones"
"14662","Burghmuir and Oakbank","S02000962",8750,"All","Intermediate Zones"
"14663","Viewlands, Craigie and Wellshill","S02000963",8960,"All","Intermediate Zones"
"14664","Central, North Inch and South Inch","S02000964",13220,"All","Intermediate Zones"
"14665","Letham","S02000965",12755,"All","Intermediate Zones"
"14666","Western Edge","S02000966",8815,"All","Intermediate Zones"
"14667","Muirton","S02000967",10430,"All","Intermediate Zones"
"14668","Scone","S02000968",11705,"All","Intermediate Zones"
"14669","Hillyland, Tulloch and Inveralmond","S02000969",10634,"All","Intermediate Zones"
"14670","Errol and Inchture","S02000970",6385,"All","Intermediate Zones"
"14671","North Muirton and Old Scone","S02000971",11713,"All","Intermediate Zones"
"14672","Guildtown, Balbeggie and St Madoes","S02000972",7809,"All","Intermediate Zones"
"14673","Invergowrie, Longforgan and Abernyte","S02000973",8094,"All","Intermediate Zones"
"14674","Luncarty and Dunkeld","S02000974",8975,"All","Intermediate Zones"
"14675","Stanley and Murthly","S02000975",9673,"All","Intermediate Zones"
"14676","Coupar Angus and Meigle","S02000976",9340,"All","Intermediate Zones"
"14677","Blairgowrie West","S02000977",9148,"All","Intermediate Zones"
"14678","Blairgowrie East (Rattray)","S02000978",9688,"All","Intermediate Zones"
"14679","Alyth","S02000979",9227,"All","Intermediate Zones"
"14680","Pitlochry","S02000980",9975,"All","Intermediate Zones"
"14681","Rannoch and Aberfeldy","S02000981",9277,"All","Intermediate Zones"
"14682","Blair Atholl, Strathardle and Glenshee","S02000982",7182,"All","Intermediate Zones"
"14683","Lochwinnoch","S02000983",8702,"All","Intermediate Zones"
"14684","Renfrewshire Rural South & Howwood","S02000984",7871,"All","Intermediate Zones"
"14685","Paisley Glenburn West","S02000985",14694,"All","Intermediate Zones"
"14686","Paisley Glenburn East","S02000986",11203,"All","Intermediate Zones"
"14687","Paisley Foxbar","S02000987",13938,"All","Intermediate Zones"
"14688","Johnstone South West","S02000988",12049,"All","Intermediate Zones"
"14689","Paisley Dykebar","S02000989",8658,"All","Intermediate Zones"
"14690","Paisley South West","S02000990",7983,"All","Intermediate Zones"
"14691","Paisley South East","S02000991",13365,"All","Intermediate Zones"
"14692","Johnstone South East","S02000992",12479,"All","Intermediate Zones"
"14693","Paisley South","S02000993",8785,"All","Intermediate Zones"
"14694","Johnstone North West","S02000994",13477,"All","Intermediate Zones"
"14695","Paisley West","S02000995",11730,"All","Intermediate Zones"
"14696","Kilbarchan","S02000996",9055,"All","Intermediate Zones"
"14697","Paisley East","S02000997",14286,"All","Intermediate Zones"
"14698","Johnstone North East","S02000998",13705,"All","Intermediate Zones"
"14699","Elderslie and Phoenix","S02000999",10818,"All","Intermediate Zones"
"14700","Paisley Central","S02001000",11965,"All","Intermediate Zones"
"14701","Paisley North West","S02001001",16101,"All","Intermediate Zones"
"14702","Paisley Ralston","S02001002",8998,"All","Intermediate Zones"
"14703","Paisley Ferguslie","S02001003",15936,"All","Intermediate Zones"
"14704","Paisley North East","S02001004",13051,"All","Intermediate Zones"
"14705","Linwood South","S02001005",15124,"All","Intermediate Zones"
"14706","Linwood North","S02001006",10424,"All","Intermediate Zones"
"14707","Paisley Gallowhill and Hillington","S02001007",13917,"All","Intermediate Zones"
"14708","Bridge of Weir","S02001008",8160,"All","Intermediate Zones"
"14709","Houston South","S02001009",6441,"All","Intermediate Zones"
"14710","Paisley North","S02001010",13216,"All","Intermediate Zones"
"14711","Renfrew South","S02001011",12016,"All","Intermediate Zones"
"14712","Houston North","S02001012",6833,"All","Intermediate Zones"
"14713","Renfrew East","S02001013",9363,"All","Intermediate Zones"
"14714","Renfrew West","S02001014",10374,"All","Intermediate Zones"
"14715","Renfrewshire Rural North and Langbank","S02001015",10328,"All","Intermediate Zones"
"14716","Renfrew North","S02001016",11022,"All","Intermediate Zones"
"14717","Erskine East and Inchinnan","S02001017",7381,"All","Intermediate Zones"
"14718","Erskine Central","S02001018",12131,"All","Intermediate Zones"
"14719","Erskine West","S02001019",11515,"All","Intermediate Zones"
"14720","Bishopton","S02001020",7759,"All","Intermediate Zones"
"14721","Newcastleton and Teviot area","S02001021",8674,"All","Intermediate Zones"
"14722","Hawick West End","S02001022",13951,"All","Intermediate Zones"
"14723","Hawick Central","S02001023",15152,"All","Intermediate Zones"
"14724","Hawick North","S02001024",14323,"All","Intermediate Zones"
"14725","Cheviot West","S02001025",10506,"All","Intermediate Zones"
"14726","Burnfoot and area","S02001026",15280,"All","Intermediate Zones"
"14727","Jedburgh","S02001027",11784,"All","Intermediate Zones"
"14728","Ettrick, Yarrow and Yair","S02001028",11016,"All","Intermediate Zones"
"14729","Cheviot East","S02001029",9515,"All","Intermediate Zones"
"14730","Selkirk","S02001030",14415,"All","Intermediate Zones"
"14731","St Boswells and Newtown area","S02001031",11621,"All","Intermediate Zones"
"14732","Kelso South","S02001032",13421,"All","Intermediate Zones"
"14733","Melrose and Tweedbank area","S02001033",12979,"All","Intermediate Zones"
"14734","Kelso North","S02001034",10851,"All","Intermediate Zones"
"14735","Galashiels South","S02001035",13499,"All","Intermediate Zones"
"14736","Langlee","S02001036",14501,"All","Intermediate Zones"
"14737","Galashiels West","S02001037",16274,"All","Intermediate Zones"
"14738","Galashiels North","S02001038",11678,"All","Intermediate Zones"
"14739","Innerleithen and Walkerburn area","S02001039",11300,"All","Intermediate Zones"
"14740","West Linton and Broughton area","S02001040",7012,"All","Intermediate Zones"
"14741","Peebles South","S02001041",13153,"All","Intermediate Zones"
"14742","Peebles North","S02001042",16277,"All","Intermediate Zones"
"14743","Coldstream and area","S02001043",13554,"All","Intermediate Zones"
"14744","Earlston, Lauder and Stow area","S02001044",11608,"All","Intermediate Zones"
"14745","Berwickshire West","S02001045",10076,"All","Intermediate Zones"
"14746","Duns","S02001046",12263,"All","Intermediate Zones"
"14747","Berwickshire Central","S02001047",9946,"All","Intermediate Zones"
"14748","Berwickshire East","S02001048",11028,"All","Intermediate Zones"
"14749","Eyemouth","S02001049",11189,"All","Intermediate Zones"
"14750","Shetland South","S02001050",8180,"All","Intermediate Zones"
"14751","Lerwick South","S02001051",12228,"All","Intermediate Zones"
"14752","Lerwick North","S02001052",13573,"All","Intermediate Zones"
"14753","Central Shetland","S02001053",9083,"All","Intermediate Zones"
"14754","East and West Mainland","S02001054",8254,"All","Intermediate Zones"
"14755","North Mainland","S02001055",11469,"All","Intermediate Zones"
"14756","North and East Isles","S02001056",7885,"All","Intermediate Zones"
"14757","Carrick South","S02001057",12113,"All","Intermediate Zones"
"14758","Girvan Glendoune","S02001058",14993,"All","Intermediate Zones"
"14759","Girvan Ailsa","S02001059",16188,"All","Intermediate Zones"
"14760","Carrick North","S02001060",9776,"All","Intermediate Zones"
"14761","Maybole","S02001061",14693,"All","Intermediate Zones"
"14762","Alloway and Doonfoot","S02001062",10305,"All","Intermediate Zones"
"14763","Coylton","S02001063",10593,"All","Intermediate Zones"
"14764","Castlehill and Kincaidston","S02001064",14865,"All","Intermediate Zones"
"14765","Belmont","S02001065",13537,"All","Intermediate Zones"
"14766","Holmston and Forehill","S02001066",11600,"All","Intermediate Zones"
"14767","Ayr South Harbour and Town Centre","S02001067",16509,"All","Intermediate Zones"
"14768","Dalmilling and Craigie","S02001068",17018,"All","Intermediate Zones"
"14769","Ayr North Harbour, Wallacetown and Newton South","S02001069",15389,"All","Intermediate Zones"
"14770","Lochside, Braehead and Whitletts","S02001070",16861,"All","Intermediate Zones"
"14771","Newton North","S02001071",13327,"All","Intermediate Zones"
"14772","Heathfield","S02001072",11811,"All","Intermediate Zones"
"14773","Prestwick East","S02001073",11195,"All","Intermediate Zones"
"14774","Prestwick West","S02001074",11064,"All","Intermediate Zones"
"14775","Prestwick Airport and Monkton","S02001075",14040,"All","Intermediate Zones"
"14776","Annbank, Mossblown and Tarbolton - the Coalfields","S02001076",12270,"All","Intermediate Zones"
"14777","Troon","S02001077",15372,"All","Intermediate Zones"
"14778","Muirhead","S02001078",11271,"All","Intermediate Zones"
"14779","Barassie","S02001079",16355,"All","Intermediate Zones"
"14780","Dundonald, Loans and Symington","S02001080",13037,"All","Intermediate Zones"
"14781","Clydesdale South","S02001081",7701,"All","Intermediate Zones"
"14782","Douglas, Coalburn and Rigside","S02001082",12059,"All","Intermediate Zones"
"14783","Chapelton, Glengavel and Sandford","S02001083",7896,"All","Intermediate Zones"
"14784","Lesmahagow","S02001084",8141,"All","Intermediate Zones"
"14785","Biggar, Symington, Thankerton and Dolphinton","S02001085",7685,"All","Intermediate Zones"
"14786","Lanark South","S02001086",7916,"All","Intermediate Zones"
"14787","Hazelbank and Kirkfieldbank","S02001087",7752,"All","Intermediate Zones"
"14788","Kirkmuirhill and Blackwood","S02001088",12907,"All","Intermediate Zones"
"14789","Strathaven South","S02001089",10258,"All","Intermediate Zones"
"14790","Lanark North West","S02001090",8727,"All","Intermediate Zones"
"14791","Lanark North East","S02001091",8118,"All","Intermediate Zones"
"14792","Stonehouse","S02001092",10887,"All","Intermediate Zones"
"14793","Carstairs, Carstairs Junction and Carnwath","S02001093",10779,"All","Intermediate Zones"
"14794","Strathaven North","S02001094",8558,"All","Intermediate Zones"
"14795","Ashgill and Netherburn","S02001095",10669,"All","Intermediate Zones"
"14796","Crossford, Braidwood and Yieldshields","S02001096",7017,"All","Intermediate Zones"
"14797","Strutherhill","S02001097",14226,"All","Intermediate Zones"
"14798","Glassford, Quarter and Allanton","S02001098",8379,"All","Intermediate Zones"
"14799","Carluke South","S02001099",10544,"All","Intermediate Zones"
"14800","Carluke East","S02001100",10959,"All","Intermediate Zones"
"14801","Hareleeshill","S02001101",13079,"All","Intermediate Zones"
"14802","Larkhall Central, Raploch, Millheugh and Burnhead","S02001102",12745,"All","Intermediate Zones"
"14803","Carluke West","S02001103",8322,"All","Intermediate Zones"
"14804","Carluke North","S02001104",12958,"All","Intermediate Zones"
"14805","Crosshouse and Lindsayfield","S02001105",10685,"All","Intermediate Zones"
"14806","Merryton and Meadowhill","S02001106",9635,"All","Intermediate Zones"
"14807","Law","S02001107",10880,"All","Intermediate Zones"
"14808","Whitehills West","S02001108",12823,"All","Intermediate Zones"
"14809","Greenhills","S02001109",12485,"All","Intermediate Zones"
"14810","Mossneuk and Newlandsmuir","S02001110",8298,"All","Intermediate Zones"
"14811","Little Earnock","S02001111",7963,"All","Intermediate Zones"
"14812","Birniehill, Kelvin and Whitehills East","S02001112",11114,"All","Intermediate Zones"
"14813","Forth, Braehead and Auchengray","S02001113",10805,"All","Intermediate Zones"
"14814","Nerston and EK Landward Area","S02001114",11142,"All","Intermediate Zones"
"14815","Eddlewood","S02001115",8073,"All","Intermediate Zones"
"14816","Westwood South","S02001116",9489,"All","Intermediate Zones"
"14817","The Murray","S02001117",12227,"All","Intermediate Zones"
"14818","Woodhead and Meikle Earnock","S02001118",11481,"All","Intermediate Zones"
"14819","Low Waters","S02001119",14233,"All","Intermediate Zones"
"14820","Hairmyres and Westwood West","S02001120",9902,"All","Intermediate Zones"
"14821","St Leonards South","S02001121",9945,"All","Intermediate Zones"
"14822","Fairhill","S02001122",12062,"All","Intermediate Zones"
"14823","Westwood East","S02001123",12898,"All","Intermediate Zones"
"14824","Thorntonhall, Jackton and Gardenhall","S02001124",6043,"All","Intermediate Zones"
"14825","West Mains","S02001125",10456,"All","Intermediate Zones"
"14826","St Leonards North","S02001126",9528,"All","Intermediate Zones"
"14827","Silvertonhill","S02001127",9894,"All","Intermediate Zones"
"14828","Earnock","S02001128",7230,"All","Intermediate Zones"
"14829","Laighstonehall","S02001129",12173,"All","Intermediate Zones"
"14830","East Mains","S02001130",12512,"All","Intermediate Zones"
"14831","Stewartfield West","S02001131",7275,"All","Intermediate Zones"
"14832","Calderwood West and Nerston","S02001132",11529,"All","Intermediate Zones"
"14833","Burnbank South and Chantinghall","S02001133",13576,"All","Intermediate Zones"
"14834","Hillhouse","S02001134",12729,"All","Intermediate Zones"
"14835","Stewartfield East","S02001135",7048,"All","Intermediate Zones"
"14836","Calderwood Central","S02001136",12503,"All","Intermediate Zones"
"14837","Burnbank Central and Udston","S02001137",12289,"All","Intermediate Zones"
"14838","Calderwood East","S02001138",9922,"All","Intermediate Zones"
"14839","Hamilton Centre and Low Parks","S02001139",10710,"All","Intermediate Zones"
"14840","High Blantyre","S02001140",14209,"All","Intermediate Zones"
"14841","Burnbank North","S02001141",12679,"All","Intermediate Zones"
"14842","Whitehill","S02001142",11869,"All","Intermediate Zones"
"14843","Blantyre South and Wheatlands","S02001143",13693,"All","Intermediate Zones"
"14844","Blantytre North and Coatshill","S02001144",12753,"All","Intermediate Zones"
"14845","Bothwell South","S02001145",7912,"All","Intermediate Zones"
"14846","Fernhill and Cathkin","S02001146",12332,"All","Intermediate Zones"
"14847","Bothwell North","S02001147",11049,"All","Intermediate Zones"
"14848","Whitlawburn and Greenlees","S02001148",9048,"All","Intermediate Zones"
"14849","Vicarland and Cairns","S02001149",12497,"All","Intermediate Zones"
